Email Address,"Captain's Name (Last, First)",Names of Partners,"Event Acronym (If an event is not on this list, then it is not offered at the Mock Conference)",Name of partner 1 (First Last),"Name of Partner 1 (Last, First) - Only for team events, not individual roleplays",Name of Partner 2 (First Last),"Name of Partner 2 (Last, First) - Only for team events, not individual roleplays",Email of Partner 1 (warriorlife),Email of Partner 2 (warriorlife)
briar.zaragoza@example.edu,"Zaragoza, Briar",Fable Pickering,BOR,Fable Pickering,"Pickering, Fable",,,fable.pickering@example.edu,
kit.bracken@example.edu,"Bracken, Kit","Caelan Ibsen, Fern Abbott",BMOR,Caelan Ibsen,"Ibsen, Caelan",Fern Abbott,"Abbott, Fern",caelan.ibsen@example.edu,fern.abbott@example.edu
hollis.edgerton@example.edu,"Edgerton, Hollis","Zara Nesbitt, Lane Galloway",EIB,Zara Nesbitt,"Nesbitt, Zara",Lane Galloway,"Galloway, Lane",zara.nesbitt@example.edu,lane.galloway@example.edu
caelan.ibsen@example.edu,"Ibsen, Caelan","Kit Bracken, Fern Abbott",BMOR,Kit Bracken,"Bracken, Kit",Fern Abbott,"Abbott, Fern",kit.bracken@example.edu,fern.abbott@example.edu
wesley.edgerton@example.edu,"Edgerton, Wesley",Palmer Zimmerman,IBP,Palmer Zimmerman,"Zimmerman, Palmer",,,palmer.zimmerman@example.edu,
devon.bellweather@example.edu,"Bellweather, Devon",Esme Wexford,ESB,Esme Wexford,"Wexford, Esme",,,esme.wexford@example.edu,
esme.wexford@example.edu,"Wexford, Esme",Devon Bellweather,ESB,Devon Bellweather,"Bellweather, Devon",,,devon.bellweather@example.edu,
ford.merriweather@example.edu,"Merriweather, Ford",Cameron Quimby,PMBS,Cameron Quimby,"Quimby, Cameron",,,cameron.quimby@example.edu,
lane.galloway@example.edu,"Galloway, Lane","Zara Nesbitt, Hollis Edgerton",EIB,Zara Nesbitt,"Nesbitt, Zara",Hollis Edgerton,"Edgerton, Hollis",zara.nesbitt@example.edu,hollis.edgerton@example.edu
wesley.zeller@example.edu,"Zeller, Wesley",,IMCE,,,,,,
arden.vandermeer@example.edu,"Vandermeer, Arden","Alex Underwood, Kit Dorsey",IMCP,Alex Underwood,"Underwood, Alex",Kit Dorsey,"Dorsey, Kit",alex.underwood@example.edu,kit.dorsey@example.edu
dakota.bellweather@example.edu,"Bellweather, Dakota",Cody Ridgeway,BMOR,Cody Ridgeway,"Ridgeway, Cody",,,cody.ridgeway@example.edu,
tobin.rothwell@example.edu,"Rothwell, Tobin",,IMCE,,,,,,
blake.lindqvist@example.edu,"Lindqvist, Blake",Opal Granger,BMOR,Opal Granger,"Granger, Opal",,,opal.granger@example.edu,
kit.dorsey@example.edu,"Dorsey, Kit","Arden Vandermeer, Alex Underwood",IMCP,Arden Vandermeer,"Vandermeer, Arden",Alex Underwood,"Underwood, Alex",arden.vandermeer@example.edu,alex.underwood@example.edu
alex.underwood@example.edu,"Underwood, Alex","Arden Vandermeer, Kit Dorsey",IMCP,Arden Vandermeer,"Vandermeer, Arden",Kit Dorsey,"Dorsey, Kit",arden.vandermeer@example.edu,kit.dorsey@example.edu
dov.ivanov@example.edu,"Ivanov, Dov",Zephyr Kowalski,EFB,Zephyr Kowalski,"Kowalski, Zephyr",,,zephyr.kowalski@example.edu,
palmer.zimmerman@example.edu,"Zimmerman, Palmer",Wesley Edgerton,IBP,Wesley Edgerton,"Edgerton, Wesley",,,wesley.edgerton@example.edu,
bodhi.pruitt@example.edu,"Pruitt, Bodhi",,ESB,,,,,,
thea.selwyn@example.edu,"Selwyn, Thea",Hale Granger,ESB,Hale Granger,"Granger, Hale",,,hale.granger@example.edu,
hale.granger@example.edu,"Granger, Hale",Thea Selwyn,ESB,Thea Selwyn,"Selwyn, Thea",,,thea.selwyn@example.edu,
skyler.edgerton@example.edu,"Edgerton, Skyler",,PSE,,,,,,
delaney.ostrander@example.edu,"Ostrander, Delaney",,HTPS,,,,,,
zephyr.kowalski@example.edu,"Kowalski, Zephyr",Dov Ivanov,EFB,Dov Ivanov,"Ivanov, Dov",,,dov.ivanov@example.edu,
iris.nesbitt@example.edu,"Nesbitt, Iris",,HTOR,,,,,,
amari.zamora@example.edu,"Zamora, Amari",Fern Grimsby,SEOR,Fern Grimsby,"Grimsby, Fern",,,fern.grimsby@example.edu,
