Email,"Name (Last, First)","Partner Name(s) [First, Last] - if applicable (separate partner names with comma)",Event
briar.zaragoza@example.edu,"Zaragoza, Briar",Fable Pickering,BOR
kit.bracken@example.edu,"Bracken, Kit","Caelan Ibsen, Fern Abbott",BMOR
hollis.edgerton@example.edu,"Edgerton, Hollis","Zara Nesbitt, Lane Galloway",EIB
caelan.ibsen@example.edu,"Ibsen, Caelan","Kit Bracken, Fern Abbott",BMOR
wesley.edgerton@example.edu,"Edgerton, Wesley",Palmer Zimmerman,IBP
devon.bellweather@example.edu,"Bellweather, Devon",Esme Wexford,ESB
esme.wexford@example.edu,"Wexford, Esme",Devon Bellweather,ESB
ford.merriweather@example.edu,"Merriweather, Ford",Cameron Quimby,PMBS
lane.galloway@example.edu,"Galloway, Lane","Zara Nesbitt, Hollis Edgerton",EIB
wesley.zeller@example.edu,"Zeller, Wesley",,IMCE
arden.vandermeer@example.edu,"Vandermeer, Arden","Alex Underwood, Kit Dorsey",IMCP
dakota.bellweather@example.edu,"Bellweather, Dakota",Cody Ridgeway,BMOR
tobin.rothwell@example.edu,"Rothwell, Tobin",,IMCE
blake.lindqvist@example.edu,"Lindqvist, Blake",Opal Granger,BMOR
kit.dorsey@example.edu,"Dorsey, Kit","Arden Vandermeer, Alex Underwood",IMCP
alex.underwood@example.edu,"Underwood, Alex","Arden Vandermeer, Kit Dorsey",IMCP
dov.ivanov@example.edu,"Ivanov, Dov",Zephyr Kowalski,EFB
palmer.zimmerman@example.edu,"Zimmerman, Palmer",Wesley Edgerton,IBP
bodhi.pruitt@example.edu,"Pruitt, Bodhi",,ESB
thea.selwyn@example.edu,"Selwyn, Thea",Hale Granger,ESB
hale.granger@example.edu,"Granger, Hale",Thea Selwyn,ESB
skyler.edgerton@example.edu,"Edgerton, Skyler",,PSE
delaney.ostrander@example.edu,"Ostrander, Delaney",,HTPS
zephyr.kowalski@example.edu,"Kowalski, Zephyr",Dov Ivanov,EFB
iris.nesbitt@example.edu,"Nesbitt, Iris",,HTOR
amari.zamora@example.edu,"Zamora, Amari",Fern Grimsby,SEOR
logan.quarles@example.edu,"Quarles, Logan","Tanner Thackery, Neve Castellano",IBP
hollis.tanaka@example.edu,"Tanaka, Hollis",Cameron Fitzgerald,EFB
neve.castellano@example.edu,"Castellano, Neve","Tanner Thackery, Logan Quarles",IBP
fable.wrenfield@example.edu,"Wrenfield, Fable",,HTPS
emerson.vandergrift@example.edu,"Vandergrift, Emerson",,IMCP
casey.lindqvist@example.edu,"Lindqvist, Casey",Orion Whitfield,ESB
orion.whitfield@example.edu,"Whitfield, Orion",Casey Lindqvist,ESB
harper.underwood@example.edu,"Underwood, Harper",,EIP
poe.doyle@example.edu,"Doyle, Poe","Haven Pickering, Wesley Ellery",BMOR
tanner.thackery@example.edu,"Thackery, Tanner","Neve Castellano, Logan Quarles",IBP
lior.selwyn@example.edu,"Selwyn, Lior",Yara Ellery,ESB
brix.nesbitt@example.edu,"Nesbitt, Brix",Cass Dorsey,BOR
wesley.ellery@example.edu,"Ellery, Wesley","Haven Pickering, Poe Doyle",BMOR
thea.tilden@example.edu,"Tilden, Thea",Dov Northcott,IMCE
yara.ellery@example.edu,"Ellery, Yara",Lior Selwyn,ESB
fern.grimsby@example.edu,"Grimsby, Fern",Amari Zamora,SEOR
fable.pickering@example.edu,"Pickering, Fable",Briar Zaragoza,BOR
parker.westbrook@example.edu,"Westbrook, Parker",Wynn Wrenfield,EIB
cameron.ivanov@example.edu,"Ivanov, Cameron",Onyx Lockwood,BOR
bodhi.ellingham@example.edu,"Ellingham, Bodhi",,PSE
oakley.langford@example.edu,"Langford, Oakley",Prin Larkspur,EIP
nico.dunmore@example.edu,"Dunmore, Nico",,EIP
haven.pickering@example.edu,"Pickering, Haven","Wesley Ellery, Poe Doyle",BMOR
quill.caldwell@example.edu,"Caldwell, Quill",,IMCS
ollie.ito@example.edu,"Ito, Ollie","Tanner Thackery, Neve Castellano",IBP
cass.dorsey@example.edu,"Dorsey, Cass",Brix Nesbitt,BOR
onyx.lockwood@example.edu,"Lockwood, Onyx",Cameron Ivanov,BOR
eden.wilcox@example.edu,"Wilcox, Eden","Hale Gilchrist, Vale Sandoval",EIP
gale.grimsby@example.edu,"Grimsby, Gale",,PSE
indigo.follett@example.edu,"Follett, Indigo",Vin Fitzgerald,BMOR
cass.novak@example.edu,"Novak, Cass",,IMCP
tatum.quillon@example.edu,"Quillon, Tatum",,IBP
hana.zamora@example.edu,"Zamora, Hana",,SEOR
hale.gilchrist@example.edu,"Gilchrist, Hale","Eden Wilcox, Vale Sandoval",EIP
lumen.tremaine@example.edu,"Tremaine, Lumen",Nell Marbury,HTOR
shiloh.nakamura@example.edu,"Nakamura, Shiloh",Parker Vasquez,BMOR
parker.vasquez@example.edu,"Vasquez, Parker",Shiloh Nakamura,BMOR
vale.sandoval@example.edu,"Sandoval, Vale","Hale Gilchrist, Eden Wilcox",EIP
greer.vandermeer@example.edu,"Vandermeer, Greer","Sol Ingram, Sasha Thackery",BOR
emerson.pruitt@example.edu,"Pruitt, Emerson","Remy Ormsby, Haven Bellweather",IMCS
wynn.wrenfield@example.edu,"Wrenfield, Wynn",Parker Westbrook,EIB
iris.ivanov@example.edu,"Ivanov, Iris",Gio Ivanov,IMCS
vin.fitzgerald@example.edu,"Fitzgerald, Vin",Indigo Follett,BMOR
nox.cranfield@example.edu,"Cranfield, Nox",,FOR
gio.ivanov@example.edu,"Ivanov, Gio",Iris Ivanov,IMCS
vin.underwood@example.edu,"Underwood, Vin","Tanner Thackery, Neve Castellano",IBP
jules.zamora@example.edu,"Zamora, Jules","Oakley Hawthorne, Rory Nakamura",EIP
zara.nesbitt@example.edu,"Nesbitt, Zara","Lane Galloway, Hollis Edgerton",EIB
bellamy.ashby@example.edu,"Ashby, Bellamy",Umi Mortimer,BOR
kai.nesbitt@example.edu,"Nesbitt, Kai",Skyler Gilchrist,IMCP
